file,origin,attempt_id,sentence_id,duration_s,rms_dbfs,clip_ratio,active_ratio,sec_per_syl,flags,flags_dup_of,verdict
att_20260704_123959_567213_s1.wav,user,1,1,4.25,-17.3,0.0001,0.48,0.472,,,pass
att_20260704_124004_546749_s2.wav,user,2,2,2.72,-18.0,0.0002,0.46,0.544,,,pass
att_20260704_124006_240447_s3.wav,user,3,3,3.1,-19.9,0.0,0.53,0.517,,,pass
att_20260704_124008_116977_s4.wav,user,4,4,2.85,-17.4,0.0002,0.57,0.475,,,pass
att_20260704_124009_964056_s5.wav,user,5,5,2.57,-19.4,0.0,0.5,0.514,,,pass
att_20260704_124011_788246_s6.wav,user,6,6,2.85,-19.8,0.0,0.5,0.57,,,pass
att_20260704_124013_570594_s7.wav,user,7,7,3.67,-19.1,0.0001,0.44,0.524,,,pass
att_20260704_124015_449431_s8.wav,user,8,8,3.5,-19.5,0.0,0.47,0.583,,,pass
att_20260704_124017_378172_s9.wav,user,9,9,4.47,-19.2,0.0,0.41,0.639,,,pass
att_20260704_124019_262948_s10.wav,user,10,10,3.2,-20.7,0.0001,0.47,0.64,,,pass
att_20260704_124021_098954_s1.wav,user,11,1,3.75,-20.2,0.0,0.67,0.417,,,pass
att_20260704_124023_039290_s2.wav,user,12,2,3.17,-20.7,0.0001,0.47,0.634,,,pass
att_20260704_124024_924517_s3.wav,user,13,3,3.15,-19.9,0.0,0.67,0.525,,,pass
att_20260704_124026_810299_s4.wav,user,14,4,3.55,-18.9,0.0001,0.53,0.592,,,pass
att_20260704_124028_725788_s5.wav,user,15,5,2.97,-21.2,0.0,0.57,0.594,,,pass
att_20260704_124030_626719_s6.wav,user,16,6,3.17,-20.2,0.0,0.47,0.634,,,pass
att_20260704_124032_510554_s7.wav,user,17,7,3.72,-19.5,0.0,0.5,0.531,,,pass
att_20260704_124034_495315_s8.wav,user,18,8,3.6,-20.8,0.0001,0.53,0.6,,,pass
att_20260704_124036_536457_s9.wav,user,19,9,3.42,-19.8,0.0,0.59,0.489,,,pass
att_20260704_124038_592618_s10.wav,user,20,10,3.7,-22.1,0.0001,0.39,0.74,,,pass
att_20260704_154638_384102_s1.webm,user,21,1,4.25,-17.3,0.0002,0.48,0.472,,,pass
att_20260704_154652_159316_s2.webm,user,22,2,3.17,-20.7,0.0001,0.47,0.634,,,pass
att_20260704_194704_998014_s1.webm,user,23,1,3.84,-18.0,0.0,0.58,0.427,,,pass
att_20260704_194727_973213_s1.webm,user,24,1,3.9,-18.2,0.0001,0.79,0.433,,,pass
att_20260704_194742_404898_s1.webm,user,25,1,5.46,-19.6,0.0,0.74,0.607,,,pass
att_20260704_194757_957349_s1.webm,user,26,1,3.6,-15.8,0.0,0.56,0.4,,,pass
att_20260704_194816_228078_s2.webm,user,27,2,2.28,-17.9,0.0003,0.64,0.456,,,pass
att_20260704_194905_518016_s3.webm,user,28,3,3.0,-17.6,0.0,0.53,0.5,,,pass
att_20260704_194921_040726_s3.webm,user,29,3,2.76,-17.6,0.0002,0.62,0.46,,,pass
att_20260704_195014_142630_s3.webm,user,30,3,2.52,-16.0,0.0001,0.67,0.42,,,pass
att_20260704_195024_055981_s3.webm,user,31,3,2.7,-18.9,0.0001,0.62,0.45,,,pass
att_20260704_195109_904949_s4.webm,user,32,4,2.76,-20.6,0.0,0.46,0.46,,,pass
att_20260704_195127_283908_s5.webm,user,33,5,2.64,-22.7,0.0001,0.62,0.528,,,pass
att_20260704_195145_415224_s5.webm,user,34,5,2.82,-18.1,0.0002,0.79,0.564,,,pass
att_20260704_195156_859487_s5.webm,user,35,5,2.34,-16.1,0.0001,0.73,0.468,,,pass
att_20260704_195205_989661_s5.webm,user,36,5,2.28,-16.6,0.0001,0.73,0.456,,,pass
att_20260704_195235_604080_s6.webm,user,37,6,2.28,-16.5,0.0001,0.73,0.456,,,pass
att_20260704_195247_943969_s6.webm,user,38,6,2.58,-18.0,0.0,0.58,0.516,,,pass
att_20260704_195300_403042_s7.webm,user,39,7,2.94,-20.4,0.0001,0.57,0.42,,,pass
att_20260704_195309_504812_s7.webm,user,40,7,3.06,-19.7,0.0002,0.53,0.437,,,pass
att_20260704_195322_131435_s8.webm,user,41,8,2.22,-18.8,0.0002,0.64,0.37,,,pass
att_20260704_195331_578961_s8.webm,user,42,8,2.82,-18.1,0.0,0.57,0.47,,,pass
att_20260704_195343_334572_s9.webm,user,43,9,2.64,-18.8,0.0,0.54,0.377,,,pass
att_20260704_195355_309566_s10.webm,user,44,10,1.98,-18.5,0.0002,0.67,0.396,,,pass
att_20260704_201106_722988_s1.webm,user,45,1,3.06,-16.4,0.0001,0.67,0.34,,,pass
att_20260704_201335_629947_s1.webm,user,46,1,3.78,-29.7,0.0,0.56,0.42,,,pass
att_20260704_201346_935845_s2.webm,user,47,2,2.64,-30.8,0.0,0.38,0.528,,,pass
att_20260704_201358_735182_s3.webm,user,48,3,2.64,-29.9,0.0,0.38,0.44,,,pass
att_20260704_201409_814312_s3.webm,user,49,3,3.18,-28.6,0.0,0.8,0.53,,,pass
att_20260704_201420_804447_s4.webm,user,50,4,2.76,-32.5,0.0,0.31,0.46,,,pass
att_20260704_201431_571192_s5.webm,user,51,5,2.46,-31.8,0.0,0.33,0.492,,,pass
att_20260704_201442_380632_s6.webm,user,52,6,2.88,-32.2,0.0,0.36,0.576,,,pass
att_20260704_201452_756144_s7.webm,user,53,7,3.0,-28.5,0.0,0.47,0.429,,,pass
att_20260704_201503_378937_s8.webm,user,54,8,2.82,-29.7,0.0,0.43,0.47,,,pass
att_20260704_201514_901685_s8.webm,user,55,8,3.0,-28.8,0.0,0.6,0.5,,,pass
att_20260704_201525_605393_s9.webm,user,56,9,3.06,-30.5,0.0,0.53,0.437,,,pass
att_20260704_201537_322122_s10.webm,user,57,10,2.64,-31.8,0.0,0.46,0.528,,,pass
att_20260704_204246_629211_s1.wav,user,58,1,4.25,-17.3,0.0001,0.48,0.472,duplicate_exact,att_20260704_123959_567213_s1.wav,fail
att_20260704_214549_957883_s1.webm,user,59,1,3.6,-28.8,0.0,0.5,0.4,,,pass
att_20260704_214635_945031_s2.webm,user,60,2,2.22,-29.9,0.0,0.45,0.444,,,pass
att_20260704_214643_330337_s3.webm,user,61,3,3.0,-31.4,0.0,0.47,0.5,,,pass
att_20260704_214701_269328_s4.webm,user,62,4,2.64,-33.0,0.0,0.46,0.44,,,pass
att_20260704_214713_132687_s5.webm,user,63,5,2.4,-33.2,0.0,0.42,0.48,,,pass
att_20260704_214718_779300_s6.webm,user,64,6,2.16,-34.8,0.0,0.6,0.432,,,pass
att_20260704_214725_531505_s7.webm,user,65,7,2.82,-32.1,0.0,0.5,0.403,,,pass
att_20260704_214732_045410_s8.webm,user,66,8,2.46,-31.9,0.0,0.58,0.41,,,pass
att_20260704_214738_395450_s9.webm,user,67,9,2.58,-32.3,0.0,0.67,0.369,,,pass
att_20260704_214744_105228_s10.webm,user,68,10,2.1,-33.7,0.0,0.6,0.42,,,pass
att_20260704_214750_287363_s11.webm,user,69,11,2.94,-31.9,0.0,0.64,0.367,,,pass
att_20260704_214804_911371_s12.webm,user,70,12,2.46,-29.8,0.0,0.67,0.273,,,pass
att_20260704_214819_298991_s12.webm,user,71,12,3.06,-29.5,0.0,0.6,0.34,,,pass
att_20260704_214843_593957_s13.webm,user,72,13,2.88,-30.6,0.0,0.64,0.411,,,pass
att_20260704_215005_883514_s14.webm,user,73,14,3.3,-29.1,0.0,0.62,0.33,,,pass
att_20260704_215012_363307_s15.webm,user,74,15,2.7,-31.1,0.0,0.69,0.338,,,pass
att_20260704_215030_720322_s15.webm,user,75,15,2.88,-31.3,0.0,0.71,0.36,,,pass
att_20260704_215040_137508_s15.webm,user,76,15,2.94,-31.0,0.0,0.64,0.367,,,pass
att_20260704_215049_748646_s15.webm,user,77,15,3.78,-31.3,0.0,0.61,0.472,,,pass
att_20260704_215103_536229_s16.webm,user,78,16,3.0,-31.9,0.0,0.67,0.375,,,pass
att_20260704_215109_588999_s17.webm,user,79,17,2.58,-31.1,0.0,0.67,0.43,,,pass
att_20260704_215116_200520_s18.webm,user,80,18,3.18,-32.0,0.0,0.73,0.353,,,pass
att_20260704_215122_308685_s19.webm,user,81,19,2.52,-31.9,0.0,0.75,0.315,,,pass
att_20260704_215130_705152_s20.webm,user,82,20,2.58,-30.5,0.0,0.75,0.287,,,pass
att_20260704_215137_177538_s21.webm,user,83,21,3.24,-32.6,0.0,0.62,0.36,,,pass
att_20260704_215145_063297_s22.webm,user,84,22,2.76,-31.9,0.0,0.62,0.394,,,pass
att_20260704_215151_408011_s23.webm,user,85,23,3.18,-31.6,0.0,0.73,0.398,,,pass
att_20260704_215157_799909_s24.webm,user,86,24,2.4,-31.2,0.0,0.58,0.343,,,pass
att_20260704_215203_987437_s25.webm,user,87,25,2.64,-31.1,0.0,0.62,0.33,,,pass
att_20260704_215209_209091_s26.webm,user,88,26,2.04,-31.3,0.0,0.6,0.408,,,pass
att_20260704_215215_110328_s27.webm,user,89,27,2.7,-31.9,0.0,0.54,0.386,,,pass
att_20260704_215221_414574_s28.webm,user,90,28,2.52,-30.5,0.0,0.67,0.36,,,pass
att_20260704_215227_468848_s29.webm,user,91,29,2.88,-30.2,0.0,0.5,0.411,,,pass
att_20260704_215233_692451_s30.webm,user,92,30,2.4,-31.6,0.0,0.58,0.343,,,pass
att_20260704_215240_308525_s31.webm,user,93,31,2.34,-29.0,0.0,0.64,0.334,,,pass
att_20260704_215248_685243_s31.webm,user,94,31,2.46,-29.8,0.0,0.58,0.351,,,pass
att_20260704_215303_279547_s31.webm,user,95,31,2.22,-28.0,0.0,0.73,0.317,,,pass
att_20260704_215313_302489_s32.webm,user,96,32,2.52,-30.4,0.0,0.58,0.36,,,pass
att_20260704_215321_120667_s33.webm,user,97,33,2.82,-29.1,0.0,0.64,0.313,,,pass
att_20260704_215418_822311_s1.webm,user,98,1,3.42,-29.1,0.0,0.59,0.38,,,pass
att_20260704_223721_339857_s1.mp3,synth,99,1,2.62,-17.6,0.0,0.62,0.291,,,pass
att_20260704_223726_847445_s1.mp3,synth,100,1,2.59,-17.5,0.0,0.67,0.288,,,pass
att_20260704_223728_940066_s1.mp3,synth,101,1,2.62,-17.4,0.0,0.62,0.291,,,pass
att_20260704_223730_926435_s2.mp3,synth,102,2,2.06,-20.0,0.0,0.5,0.412,,,pass
att_20260704_223732_893912_s2.mp3,synth,103,2,2.16,-20.1,0.0,0.6,0.432,,,pass
att_20260704_223734_948844_s2.mp3,synth,104,2,2.02,-19.8,0.0,0.5,0.404,,,pass
att_20260704_223736_852635_s3.mp3,synth,105,3,2.26,-18.6,0.0,0.55,0.377,,,pass
att_20260704_223738_996936_s3.mp3,synth,106,3,2.28,-18.4,0.0,0.55,0.38,,,pass
att_20260704_223741_493857_s3.mp3,synth,107,3,2.28,-18.6,0.0,0.55,0.38,,,pass
att_20260704_223743_657119_s4.mp3,synth,108,4,2.11,-20.6,0.0,0.5,0.352,,,pass
att_20260704_223745_765118_s4.mp3,synth,109,4,2.11,-20.8,0.0,0.5,0.352,,,pass
att_20260704_223747_824376_s4.mp3,synth,110,4,2.16,-20.3,0.0,0.6,0.36,,,pass
att_20260704_223749_888599_s5.mp3,synth,111,5,2.02,-22.5,0.0,0.5,0.404,,,pass
att_20260704_223752_028907_s5.mp3,synth,112,5,2.04,-21.5,0.0,0.5,0.408,,,pass
att_20260704_223754_138951_s5.mp3,synth,113,5,2.02,-22.0,0.0,0.5,0.404,,,pass
att_20260704_223756_184130_s6.mp3,synth,114,6,2.21,-20.2,0.0,0.55,0.442,,,pass
att_20260704_223758_401567_s6.mp3,synth,115,6,2.14,-20.5,0.0,0.5,0.428,,,pass
att_20260704_223800_496678_s6.mp3,synth,116,6,2.21,-18.3,0.0,0.45,0.442,,,pass
att_20260704_223802_541513_s7.mp3,synth,117,7,2.26,-19.1,0.0,0.55,0.323,,,pass
att_20260704_223804_749455_s7.mp3,synth,118,7,2.28,-19.7,0.0,0.55,0.326,,,pass
att_20260704_223806_910094_s7.mp3,synth,119,7,2.26,-19.5,0.0,0.55,0.323,,,pass
att_20260704_223809_054124_s8.mp3,synth,120,8,2.18,-20.5,0.0,0.6,0.363,,,pass
att_20260704_223811_273708_s8.mp3,synth,121,8,2.21,-20.6,0.0,0.55,0.368,,,pass
att_20260704_223813_510534_s8.mp3,synth,122,8,2.18,-19.1,0.0,0.6,0.363,,,pass
att_20260704_223815_667231_s9.mp3,synth,123,9,2.52,-20.2,0.0,0.58,0.36,,,pass
att_20260704_223817_840775_s9.mp3,synth,124,9,2.5,-19.8,0.0,0.58,0.357,,,pass
att_20260704_223819_984914_s9.mp3,synth,125,9,2.5,-20.7,0.0,0.58,0.357,,,pass
att_20260704_223822_109723_s10.mp3,synth,126,10,2.26,-24.3,0.0,0.55,0.452,,,pass
att_20260704_223824_236180_s10.mp3,synth,127,10,2.26,-24.3,0.0,0.55,0.452,duplicate_exact,att_20260704_223822_109723_s10.mp3,fail
att_20260704_223826_300620_s10.mp3,synth,128,10,2.06,-24.3,0.0,0.5,0.412,,,pass
att_20260704_223828_425170_s11.mp3,synth,129,11,2.5,-17.9,0.0,0.58,0.312,,,pass
att_20260704_223830_681236_s11.mp3,synth,130,11,2.5,-17.7,0.0,0.58,0.312,,,pass
att_20260704_223832_826994_s11.mp3,synth,131,11,2.45,-17.9,0.0,0.58,0.306,,,pass
att_20260704_223834_930790_s12.mp3,synth,132,12,2.54,-18.6,0.0,0.58,0.282,,,pass
att_20260704_223837_152700_s12.mp3,synth,133,12,2.5,-18.8,0.0,0.58,0.278,,,pass
att_20260704_223839_392085_s12.mp3,synth,134,12,2.54,-18.2,0.0,0.58,0.282,,,pass
att_20260704_223841_612007_s13.mp3,synth,135,13,2.52,-20.0,0.0,0.58,0.36,,,pass
att_20260704_223843_800398_s13.mp3,synth,136,13,2.35,-19.7,0.0,0.64,0.336,,,pass
att_20260704_223845_990542_s13.mp3,synth,137,13,2.54,-19.7,0.0,0.58,0.363,,,pass
att_20260704_223848_259048_s14.mp3,synth,138,14,2.69,-18.2,0.0,0.62,0.269,,,pass
att_20260704_223850_672910_s14.mp3,synth,139,14,2.76,-18.4,0.0,0.69,0.276,,,pass
att_20260704_223852_909855_s14.mp3,synth,140,14,2.78,-18.3,0.0,0.69,0.278,,,pass
att_20260704_223855_197150_s15.mp3,synth,141,15,2.59,-19.2,0.0,0.67,0.324,,,pass
att_20260704_223857_517213_s15.mp3,synth,142,15,2.64,-19.2,0.0,0.62,0.33,,,pass
att_20260704_223859_737461_s15.mp3,synth,143,15,2.52,-18.3,0.0,0.58,0.315,,,pass
att_20260704_223902_023681_s16.mp3,synth,144,16,2.47,-19.7,0.0,0.58,0.309,,,pass
att_20260704_223904_167266_s16.mp3,synth,145,16,2.52,-19.5,0.0,0.58,0.315,,,pass
att_20260704_223906_292610_s16.mp3,synth,146,16,2.45,-19.6,0.0,0.58,0.306,,,pass
att_20260704_223908_512950_s17.mp3,synth,147,17,2.28,-21.3,0.0,0.55,0.38,,,pass
att_20260704_223910_913115_s17.mp3,synth,148,17,2.28,-21.2,0.0,0.55,0.38,,,pass
att_20260704_223913_023297_s17.mp3,synth,149,17,2.3,-19.6,0.0,0.55,0.383,,,pass
att_20260704_223915_231711_s18.mp3,synth,150,18,2.78,-20.4,0.0,0.69,0.309,,,pass
att_20260704_223917_599306_s18.mp3,synth,151,18,2.78,-19.4,0.0,0.69,0.309,,,pass
att_20260704_223919_990826_s18.mp3,synth,152,18,2.78,-19.9,0.0,0.69,0.309,,,pass
att_20260704_223922_418126_s19.mp3,synth,153,19,2.57,-18.6,0.0,0.67,0.321,,,pass
att_20260704_223924_735479_s19.mp3,synth,154,19,2.52,-18.2,0.0,0.58,0.315,,,pass
att_20260704_223927_036744_s19.mp3,synth,155,19,2.57,-19.3,0.0,0.67,0.321,,,pass
att_20260704_223929_341340_s20.mp3,synth,156,20,2.62,-17.9,0.0,0.62,0.291,,,pass
att_20260704_223931_694810_s20.mp3,synth,157,20,2.59,-17.8,0.0,0.67,0.288,,,pass
att_20260704_223934_012962_s20.mp3,synth,158,20,2.62,-17.8,0.0,0.62,0.291,,,pass
att_20260704_223936_334301_s21.mp3,synth,159,21,2.66,-17.6,0.0,0.62,0.296,,,pass
att_20260704_223938_669103_s21.mp3,synth,160,21,2.71,-17.7,0.0,0.62,0.301,,,pass
att_20260704_223941_007867_s21.mp3,synth,161,21,2.69,-17.3,0.0,0.62,0.299,,,pass
att_20260704_223943_307406_s22.mp3,synth,162,22,2.47,-20.4,0.0,0.58,0.353,,,pass
att_20260704_223945_514905_s22.mp3,synth,163,22,2.42,-20.1,0.0,0.58,0.346,,,pass
att_20260704_223947_687222_s22.mp3,synth,164,22,2.52,-19.5,0.0,0.67,0.36,,,pass
att_20260704_223949_891245_s23.mp3,synth,165,23,2.54,-19.0,0.0,0.58,0.318,,,pass
att_20260704_223952_193876_s23.mp3,synth,166,23,2.54,-18.7,0.0,0.58,0.318,,,pass
att_20260704_223954_782453_s23.mp3,synth,167,23,2.54,-18.9,0.0,0.58,0.318,,,pass
att_20260704_223957_066544_s24.mp3,synth,168,24,2.33,-20.1,0.0,0.55,0.333,,,pass
att_20260704_223959_285750_s24.mp3,synth,169,24,2.33,-20.2,0.0,0.55,0.333,,,pass
att_20260704_224001_524994_s24.mp3,synth,170,24,2.45,-20.9,0.0,0.5,0.35,,,pass
att_20260704_224003_699385_s25.mp3,synth,171,25,2.54,-19.3,0.0,0.58,0.318,,,pass
att_20260704_224006_031690_s25.mp3,synth,172,25,2.64,-19.6,0.0,0.62,0.33,,,pass
att_20260704_224008_329611_s25.mp3,synth,173,25,2.62,-19.0,0.0,0.62,0.328,,,pass
att_20260704_224010_628030_s26.mp3,synth,174,26,2.09,-20.9,0.0,0.5,0.418,,,pass
att_20260704_224012_831911_s26.mp3,synth,175,26,2.06,-21.8,0.0,0.5,0.412,,,pass
att_20260704_224015_104163_s26.mp3,synth,176,26,2.14,-20.9,0.0,0.6,0.428,,,pass
att_20260704_224017_342210_s27.mp3,synth,177,27,2.4,-19.8,0.0,0.58,0.343,,,pass
att_20260704_224019_660423_s27.mp3,synth,178,27,2.42,-20.1,0.0,0.58,0.346,,,pass
att_20260704_224021_866613_s27.mp3,synth,179,27,2.54,-19.9,0.0,0.67,0.363,,,pass
att_20260704_224024_201219_s28.mp3,synth,180,28,2.4,-19.1,0.0,0.58,0.343,,,pass
att_20260704_224026_481513_s28.mp3,synth,181,28,2.52,-18.9,0.0,0.58,0.36,,,pass
att_20260704_224028_690175_s28.mp3,synth,182,28,2.42,-18.8,0.0,0.58,0.346,,,pass
att_20260704_224030_978618_s29.mp3,synth,183,29,2.23,-20.9,0.0,0.55,0.319,,,pass
att_20260704_224033_185359_s29.mp3,synth,184,29,2.28,-20.4,0.0,0.55,0.326,,,pass
att_20260704_224035_426796_s29.mp3,synth,185,29,2.26,-21.1,0.0,0.55,0.323,,,pass
att_20260704_224037_668536_s30.mp3,synth,186,30,2.26,-19.5,0.0,0.55,0.323,,,pass
att_20260704_224039_888390_s30.mp3,synth,187,30,2.38,-18.3,0.0,0.64,0.34,,,pass
att_20260704_224042_178002_s30.mp3,synth,188,30,2.33,-18.5,0.0,0.55,0.333,,,pass
att_20260704_224044_417057_s31.mp3,synth,189,31,2.23,-18.4,0.0,0.55,0.319,,,pass
att_20260704_224046_721239_s31.mp3,synth,190,31,2.35,-18.6,0.0,0.64,0.336,,,pass
att_20260704_224048_962349_s31.mp3,synth,191,31,2.28,-18.4,0.0,0.55,0.326,,,pass
att_20260704_224051_185360_s32.mp3,synth,192,32,2.47,-20.2,0.0,0.58,0.353,,,pass
att_20260704_224053_472926_s32.mp3,synth,193,32,2.52,-20.0,0.0,0.58,0.36,,,pass
att_20260704_224055_792162_s32.mp3,synth,194,32,2.42,-18.6,0.0,0.58,0.346,,,pass
att_20260704_224058_022945_s33.mp3,synth,195,33,2.59,-20.5,0.0,0.67,0.288,,,pass
att_20260704_224100_348154_s33.mp3,synth,196,33,2.54,-19.9,0.0,0.58,0.282,,,pass
att_20260704_224102_649581_s33.mp3,synth,197,33,2.62,-20.6,0.0,0.62,0.291,,,pass
att_20260704_224127_910505_s1.mp3,synth,198,1,2.98,-21.0,0.0,0.57,0.331,,,pass
att_20260704_224130_216400_s1.mp3,synth,199,1,2.93,-20.8,0.0,0.64,0.326,,,pass
att_20260704_224132_401417_s1.mp3,synth,200,1,2.98,-21.1,0.0,0.5,0.331,,,pass
att_20260704_224134_506587_s2.mp3,synth,201,2,2.4,-21.1,0.0,0.42,0.48,,,pass
att_20260704_224136_568328_s2.mp3,synth,202,2,2.4,-20.9,0.0,0.42,0.48,,,pass
att_20260704_224138_762679_s2.mp3,synth,203,2,2.28,-21.8,0.0,0.55,0.456,,,pass
att_20260704_224140_971071_s3.mp3,synth,204,3,2.45,-20.9,0.0,0.5,0.408,,,pass
att_20260704_224143_158598_s3.mp3,synth,205,3,2.52,-21.0,0.0,0.5,0.42,,,pass
att_20260704_224145_471802_s3.mp3,synth,206,3,2.42,-20.2,0.0,0.5,0.403,,,pass
att_20260704_224147_867834_s4.mp3,synth,207,4,2.52,-21.7,0.0,0.42,0.42,,,pass
